Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1103,20.75,0,0.007564836,13,107.8622,9,1999,1,0,1,829.4309
1067,8.3,1,0.038427677,4,87.3198,2,2007,2,1,1,1282.6018
1406,14.6,0,0.099574908,11,241.7538,0,1998,2,2,0,988.6606
809,7.315,0,0.015388393,13,155.034,2,2007,2,1,1,2256.6287
1184,12.695633368756642,1,0.118599314,4,234.23,5,1985,1,2,3,6199.1616
461,9.8,1,0.063817206,6,117.1492,8,1997,3,0,1,1902.508
604,19.35,1,0.082601537,0,50.1034,3,2009,1,2,2,714.51294
266,12.695633368756642,0,0.015782495,0,81.0592,5,1985,1,2,3,2203.9622
668,6.305,1,0.123365446,13,95.7436,7,2002,2,1,1,1432.2751
170,5.985,0,0.005698435,0,186.8924,2,2007,2,1,1,3182.606
943,16.6,0,0.103569075,6,118.3466,2,2007,2,1,1,1670.058
807,6.59,0,0.10581147,6,85.3908,7,2002,2,1,1,1291.333
1279,12.695633368756642,0,0.171079215,8,240.4196,4,1985,3,0,0,476.7275
966,4.785,0,0.092737611,1,122.3098,9,1999,1,0,1,2448.3918
119,16.75,0,0.021206464,7,52.0298,1,1987,0,2,1,779.56885
626,6.135,1,0.0794507,0,151.6366,9,1999,1,0,1,2632.243
500,19.85,0,0.05413521,12,198.7768,7,2002,2,1,1,4274.855
9,17.85,0,0.037980963,14,192.2188,3,2009,1,2,2,3568.739
1386,12.695633368756642,0,0.028184344,9,109.6912,5,1985,1,2,3,3312.1091
178,13.6,0,0.196897637,13,193.7136,0,1998,2,2,0,496.999
165,7.1,0,0.109920138,6,175.008,1,1987,0,2,1,3520.6406
1346,19.2,0,0.182619235,11,239.9196,6,2004,3,1,1,3751.4846
420,13.65,0,0.065630844,5,47.7402,8,1997,3,0,1,826.82263
1367,12.695633368756642,0,0.027447057,11,142.347,4,1985,3,0,0,53.51368
867,19.2,0,0.035178935,13,180.7318,6,2004,3,1,1,2753.9084
1121,6.785,1,0.038455125,13,209.4928,0,1998,2,2,0,951.5477
1304,13.0,0,0.035102094,9,47.6034,6,2004,3,1,1,747.5856
1291,5.825,0,0.091485232,9,161.3894,8,1997,3,0,1,1943.546
13,13.8,0,0.058102469,4,244.6802,8,1997,3,0,1,3736.5388
327,12.8,0,0.022940349,6,116.5492,6,2004,3,1,1,1746.7836
1459,12.695633368756642,0,0.06737681,9,32.09,4,1985,3,0,0,27.466917
1146,9.5,1,0.022148582,10,194.9452,3,2009,1,2,2,3054.9314
1452,12.5,0,0.006792707,9,42.4112,3,2009,1,2,2,661.9463
981,12.695633368756642,1,0.024870035,6,217.7508,5,1985,1,2,3,5125.463
1005,5.78,0,0.096931426,1,164.2552,2,2007,2,1,1,2022.9038
814,12.695633368756642,1,0.008693632,10,205.098,5,1985,1,2,3,5384.2007
899,12.695633368756642,0,0.078961284,3,80.3644,5,1985,1,2,3,2502.3516
307,10.395,0,0.050479463,0,114.0176,0,1998,2,2,0,385.844
1303,18.35,0,0.089485918,9,192.1504,2,2007,2,1,1,3455.7922
1288,12.695633368756642,0,0.01594238,9,103.3964,5,1985,1,2,3,2433.258
1289,21.1,0,0.029127115,9,143.3786,3,2009,1,2,2,1643.0715
1168,19.75,0,0.069236421,6,116.6466,0,1998,2,2,0,547.8044
1532,8.43,0,0.178699961,9,173.9422,2,2007,2,1,1,2020.0255
1367,15.35,0,0.015740089,11,144.847,3,2009,1,2,2,2596.949
740,6.71,0,0.059565107,1,217.2166,0,1998,2,2,0,1247.4384
250,10.195,0,0.126277921,3,112.1886,1,1987,0,2,1,1796.7345
823,11.65,0,0.291322397,4,55.8298,0,1998,2,2,0,-56.361225
1470,12.85,0,0.053433908,8,183.2608,6,2004,3,1,1,2497.635
380,12.15,0,0.131155007,5,248.146,6,2004,3,1,1,4032.4502
984,18.25,0,0.075194929,13,124.9046,8,1997,3,0,1,2235.3503
65,5.98,0,0.075557965,7,57.0614,8,1997,3,0,1,1219.2726
613,12.65,0,0.122928415,10,106.6938,1,1987,0,2,1,1940.613
884,13.1,1,0.044442342,6,181.0318,2,2007,2,1,1,2955.6355
514,20.7,1,0.100741569,6,122.3388,2,2007,2,1,1,1945.6475
1042,12.695633368756642,1,0.039651481,6,188.7188,5,1985,1,2,3,5749.9624
392,7.855,0,0.011278673,3,188.8188,9,1999,1,0,1,2323.4192
149,13.35,1,0.0,13,179.666,1,1987,0,2,1,4597.911
912,17.25,0,0.106952661,5,38.3822,1,1987,0,2,1,617.249
610,12.695633368756642,1,0.129825457,13,263.2568,4,1985,3,0,0,1010.2746
349,10.395,1,0.029947409,4,90.1514,7,2002,2,1,1,1298.739
1066,8.315,1,0.035565457,0,144.8444,6,2004,3,1,1,2416.452
606,20.7,1,0.047760002,4,214.9876,2,2007,2,1,1,3957.2412
1530,12.695633368756642,0,0.015089147,9,141.347,5,1985,1,2,3,3741.774
816,21.35,0,0.07818366,6,96.8094,2,2007,2,1,1,1349.003
672,5.88,0,0.086632125,5,152.6998,7,2002,2,1,1,2087.8816
213,12.695633368756642,1,0.064306056,15,90.3804,5,1985,1,2,3,2561.725
